RMC,CCC,Cyclomatic Complexity
55.5,4.977808772,0
22,4.942510217,0
22,5.023577043,0
47,4.815694881,0
22,4.937825955,0
50,4.942294985,0
34.5,5.056784205,0
48,5.028341755,0
25.5,5.052182417,0
25,5.056764821,0
48.5,5.052185424,0
31,5.023944897,0
48.5,5.041242468,0
36.5,5.028236376,0
45.5,5.052105945,0
35,5.028156287,0
36,5.056757875,0
23,5.024367354,0
30.5,5.041083736,0
46.5,4.913099162,0
43,4.928744482,0
44.5,5.056989201,0
35.5,5.056845176,0
32.5,5.023951256,0
43,5.028555443,0
33,5.057132651,0
52,5.019643804,0
29,5.028229447,0
45.5,5.052173819,0
25.5,5.056764366,0
51.5,5.05219223,0
30.5,5.024185028,0
47.5,5.028191288,0
22,4.94239527,0
35.5,5.056991264,0
44.5,5.056680948,0
22.5,5.0284591,0
46.5,4.942451569,0
30,5.052182872,0
57,5.056632929,0
34,5.028322371,0
52.5,4.977909595,0
40,5.057124066,0
22,4.926349394,0
55.5,5.056667904,0
23,5.033611235,0
44,5.028438678,0
29,5.028449423,0
46.5,4.94239546,0
23,4.977904967,0
57,5.028333116,0
22,4.926212543,0
52,5.056852517,0
29,5.056634507,0
52.5,5.028105111,0
37.5,5.056764366,0
46.5,5.056868078,0
36.5,5.041372153,0
27,4.937807772,0
22,4.937944905,0
50.5,5.056764639,0
27,5.028191288,0
58.5,5.056764821,0
34,5.028298682,0
32,5.052046427,0
34,5.056637055,0
31,5.019643804,0
48,5.028322828,0
26,5.056637055,0
54,5.056900323,0
37.5,5.057132651,0
28.5,5.023998924,0
49.5,5.052182386,0
41,5.056757875,0
56,5.05241256,0
36.5,5.056865348,0
52,5.056865014,0
22.5,4.913609753,0
49,5.056755509,0
23,5.023809478,0
57,5.023951532,0
34,5.028267092,0
44.5,5.052415294,0
28,4.977892691,0
48.5,5.056990809,0
36.5,5.057002973,0
26,4.937710502,0
24,5.029701333,0
48.5,5.056990809,0
36.5,5.056632474,0
50.5,5.052014739,0
32.5,5.048362463,0
37.5,5.052288207,0
54.5,5.023611685,0
22.5,4.942901867,0
54.5,5.057005521,0
22,5.028191777,0
42.5,5.019992737,0
52.5,5.056855125,0
42.5,5.056658683,0
64,4.942412471,0
49.5,5.04100367,0
43,4.977772478,0
57,5.028565456,0
41,5.056721868,0
57,5.057123611,0
43.5,4.938082546,0
57,5.056643681,0
42.5,5.028690952,0
46,5.057181761,0
42.5,5.028237862,0
43.5,5.008408011,0
43.5,4.942574704,0
43.5,5.057002518,0
36.5,5.05686826,0
58,5.052415021,0
45.5,4.942392731,0
53,5.0520769,0
35.5,5.052318102,0
56,5.056622798,0
29,5.023587072,0
62,5.056734154,0
35.5,5.028134273,0
44,5.024075668,0
41.5,5.056874448,0
37,4.94252929,0
49.5,4.978046145,0
30,5.056870535,0
50.5,5.056861283,0
24.5,5.057133106,0
46.5,5.023576585,0
22,4.942392445,0
57,5.056732121,0
36,5.056978038,0
30,5.05678375,0
23,4.937575244,0
52.5,4.999883155,0
34,5.05705539,0
37,5.052273107,0
57,5.028341694,0
29.5,5.028423628,0
56.5,5.05677471,0
27,5.024483663,0
54.5,5.057133106,0
31.5,5.02855526,0
33.5,4.942764229,0
33.5,4.999750222,0
49.5,5.056873461,0
31,5.034110228,0
53,5.057123611,0
30.5,4.942532305,0
43.5,5.028182693,0
39.5,5.028570065,0
50.5,4.937947766,0
32,5.052957541,0
53.5,5.052285654,0
34.5,5.028210398,0
48.5,5.036936585,0
36.5,5.05204427,0
52.5,5.052172634,0
36.5,5.062025773,0
25.5,5.056891405,0
51,5.023945172,0
26.5,5.057135654,0
49.5,5.056708582,0
24,4.978048789,0
31.5,5.028191471,0
51.5,5.056742738,0
26,4.942764356,0
57,5.052405967,0
26,4.942529766,0
48,4.973804581,0
34.5,5.024621528,0
59,5.056636782,0
31,5.052831405,0
41.5,5.052346358,0
31,5.028423628,0
29.5,4.942574132,0
24,5.05282225,0
55,4.961851344,0
28,5.023488252,0
22,5.028191013,0
49,5.056990475,0
34.5,4.977788154,0
43.5,4.999972823,0
24,5.056859038,0
27,4.942392636,0
56,5.052040624,0
36.5,5.056764669,0
28,5.028322828,0
55.5,5.052173363,0
33.5,5.056863194,0
42.5,4.942783429,0
33.5,5.023623549,0
24,4.972900646,0
22,4.937944619,0
23,5.052408641,0
63,5.056767369,0
