RMC,CCC
34,5.041382882
44,5.012745934
36.5,5.040975264
30,5.028633111
56.5,5.057046077
31,5.052473172
49.5,5.028568173
30,5.056871202
42.5,4.926348916
26,4.937798284
37,5.052173484
48,4.97818046
35,5.02855526
54,5.056538287
23,4.948731826
29.5,5.062153035
40.5,5.056847451
47.5,4.948517261
37.5,5.052551162
42.5,4.942627512
25,5.028624183
64,5.056637843
54,5.028623419
42.5,4.961844227
55.5,5.052074986
42.5,5.052163671
45,4.937820058
42.5,4.973264774
42.5,4.937934081
42.5,5.052541015
46.5,5.028423628
42.5,5.057115291
42.5,4.93834745
42.5,4.942549696
46,5.052072707
43.5,5.052398614
49.5,5.052279153
42.5,4.93756601
42.5,5.028553951
39,4.973383291
50,5.02833552
31.5,5.024362741
43.5,4.913470914
25.5,5.052414474
51.5,5.02406677
36.5,5.028565456
54.5,5.052405329
38.5,5.028652221
54,5.056999151
35.5,5.056634689
43.5,4.942764356
23.5,5.028419751
48.5,5.0281894
30,5.052415021
53,4.824551226
52,5.057007675
35,4.938083023
44.5,4.977909311
22,4.937944619
43.5,4.948869147
29,5.057123611
28,4.937945096
44.5,5.023712554
24,5.023954864
54.5,5.056816025
39.5,5.052285594
61,5.028134609
24,4.968493037
43.5,4.973265121
29.5,5.041371361
32,5.041244418
54.5,5.056693354
22,4.937573655
46.5,5.052423832
34.5,5.041228844
58,5.056656893
23,5.019992553
44.5,5.056990809
41,5.056997422
48.5,5.00016339
34,5.000512615
31,5.052957764
28,5.028554985
55,5.05739949
36.5,5.028505673
42.5,4.942392445
45,5.056636903
29.5,5.052181627
48.5,5.041290928
25,5.052405177
44.5,5.056855398
35.5,5.024351153
58.5,5.052543567
33,5.040882457
49.5,5.05213417
32,5.052957035
47.5,5.052334752
39.5,5.057123611
52.5,5.012503555
37.5,5.056777531
34,4.913609465
34,5.056639208
51.5,5.024075851
30.5,5.05705812
52,5.028493534
29,5.028701422
22,4.942764166
42.5,4.942392445
22,4.942771401
35.5,5.052718404
44.5,5.052030659
27,4.97790544
55,5.02425132
36.5,5.037314599
27.5,4.977906793
29.5,5.056758148
52,4.977808772
36,5.024065975
36.5,5.056749229
37.5,5.000116064
50,4.93757553
32.5,5.052414352
25.5,5.057005733
47.5,5.023945172
32.5,5.028322645
57.5,5.028283909
27,4.973266665
53,5.052421614
30,5.052415476
48.5,5.048363011
34,5.056867805
60,5.058336635
27,4.973269408
43,4.942901581
22,4.926124089
29,5.023955659
22.5,4.942432401
33,5.052414838
60,5.06216197
22,5.03406896
43.5,4.978048191
35.5,5.056719715
48.5,5.02436057
36.5,5.034120956
32,5.028322371
56,5.056861313
23,5.019643804
49.5,4.977970882
36,5.052541926
46.5,4.942392731
38.5,5.05254147
43.5,4.977670868
22,4.926476789
54.5,5.041381053
22,4.937573178
48,4.961711878
23,4.942627385
45.5,5.028122654
35.5,5.056622525
59,5.052424166
25.5,5.057126159
51.5,5.012761056
39,5.057124066
35.5,5.052183328
60.5,5.056747279
22,4.937573655
57.5,5.052550706
49,4.899407039
59.5,4.977878715
31.5,5.052030051
57.5,5.041380992
26,4.937690952
42.5,4.937662232
35.5,5.028488764
49,5.056968817
26,4.942392731
44.5,5.057003428
38.5,5.057006037
44.5,5.023808377
33,5.057154734
57,5.052419578
27,4.973098616
56,5.048403863
35,5.024087409
42.5,4.942627512
23.5,5.023708151
48.5,5.048498881
29.5,5.041103151
56.5,5.028737994
32.5,4.973406496
44.5,5.008409209
28.5,5.057123611
33,5.052521813
48,4.973256765
41.5,5.048195638
50,5.0411133
31.5,5.048197534
28,4.999605104
58,5.041381236
24.5,5.052418697
50,5.056747006
38,5.041788122
46.5,5.023945355
31,4.978042084
61,5.052541653
29.5,4.942392445
22,4.937934621
56,5.056723537
28,5.056786753
